"Pozycja (x, y)","Prędkość (Vx, Vy)",Masa,"Siła (Fx, Fy)","Przyspieszenie (Ax, Ay)"
[ 4.27761627e+32 -4.41615518e+33],[ 4.32082451e+25 -4.46076280e+26],1e+30,[-4.09617214e-16  2.92121948e-15],[-4.09617214e-46  2.92121948e-45]
[ 1.59336853e+34 -1.70638469e+34],[ 1.60946316e+27 -1.72362090e+27],1e+30,[-7.65801077e-17  8.75310450e-17],[-7.65801077e-47  8.75310450e-47]
[ 1.52852993e+33 -4.47564650e+32],[ 1.54396963e+26 -4.52085506e+25],1e+30,[1.76599295e-13 1.51027168e-13],[1.76599295e-43 1.51027168e-43]
[-1.36358353e+33  2.17868207e+33],[-1.37735710e+26  2.20068896e+26],1e+30,[ 1.42325824e-15 -3.53830281e-15],[ 1.42325824e-45 -3.53830281e-45]
[ 1.70465862e+33 -2.05549799e+33],[ 1.72187739e+26 -2.07626060e+26],1e+30,[-3.26889378e-15  2.83809724e-15],[-3.26889378e-45  2.83809724e-45]
[9.86868209e+32 2.61843941e+33],[9.96836574e+25 2.64488829e+26],1e+30,[-5.95884979e-16 -1.34219232e-15],[-5.95884979e-46 -1.34219232e-45]
[ 2.82552968e+33 -2.39201695e+33],[ 2.85407038e+26 -2.41617874e+26],1e+30,[-6.76663613e-15  5.47169359e-15],[-6.76663613e-45  5.47169359e-45]
[-3.95928077e+33 -2.67288494e+33],[-3.99927351e+26 -2.69988378e+26],1e+30,[ 3.46628665e-15 -2.71028855e-14],[ 3.46628665e-45 -2.71028855e-44]
[-3.07351580e+33  7.65062743e+33],[-3.10456141e+26  7.72790649e+26],1e+30,[ 4.64670872e-16 -6.12876469e-16],[ 4.64670872e-46 -6.12876469e-46]
[1.88525569e+33 4.74889435e+32],[1.90429867e+26 4.79686298e+25],1e+30,[ 5.91160355e-16 -1.52457420e-15],[ 5.91160355e-46 -1.52457420e-45]
[-4.75095092e+33 -1.10870120e+33],[-4.79894032e+26 -1.11990020e+26],1e+30,[2.34801082e-15 1.34297113e-16],[2.34801082e-45 1.34297113e-46]
[-1.14712465e+34 -2.81065209e+34],[-1.15871176e+27 -2.83904252e+27],1e+30,[2.54421229e-17 6.21153408e-17],[2.54421229e-47 6.21153408e-47]
[-9.46916657e+32  1.02011374e+33],[-9.56481472e+25  1.03041792e+26],1e+30,[-2.79595783e-15  7.62688434e-16],[-2.79595783e-45  7.62688434e-46]
[-3.34207378e+32  7.20807018e+33],[-3.37583210e+25  7.28087897e+26],1e+30,[ 7.39741850e-17 -1.85994857e-15],[ 7.39741850e-47 -1.85994857e-45]
[2.01778238e+33 1.73523881e+33],[2.03816402e+26 1.75276647e+26],1e+30,[-1.66753085e-15 -2.21227018e-15],[-1.66753085e-45 -2.21227018e-45]
[1.00809204e+34 3.92341281e+34],[1.01827479e+27 3.96304324e+27],1e+30,[-7.05738211e-18 -4.60282857e-17],[-7.05738211e-48 -4.60282857e-47]
[ 2.77480001e+32 -3.03245574e+33],[ 2.80282830e+25 -3.06308661e+26],1e+30,[-2.02334881e-15  1.65407442e-15],[-2.02334881e-45  1.65407442e-45]
[ 9.48323839e+32 -9.87109948e+32],[ 9.57902868e+25 -9.97080756e+25],1e+30,[-6.50625304e-15  9.90250652e-16],[-6.50625304e-45  9.90250652e-46]
[-1.24069550e+34  5.51777388e+34],[-1.25322777e+27  5.57350897e+27],1e+30,[ 4.77183913e-18 -2.05873893e-17],[ 4.77183913e-48 -2.05873893e-47]
[ 6.77798999e+33 -3.62947597e+33],[ 6.84645454e+26 -3.66613734e+26],1e+30,[-6.77771840e-16  1.40326357e-15],[-6.77771840e-46  1.40326357e-45]
[-9.10979045e+33  4.05485943e+33],[-9.20180854e+26  4.09581760e+26],1e+30,[ 5.55481667e-16 -2.90015602e-16],[ 5.55481667e-46 -2.90015602e-46]
[ 9.92818139e+30 -4.06020334e+33],[ 1.00284672e+24 -4.10121549e+26],1e+30,[-3.31610432e-16  6.80548103e-15],[-3.31610432e-46  6.80548103e-45]
[-5.25061236e+33  5.39730127e+33],[-5.30364885e+26  5.45181947e+26],1e+30,[ 1.02411787e-15 -6.95185525e-16],[ 1.02411787e-45 -6.95185525e-46]
[-2.29105662e+32 -3.58018354e+33],[-2.31419861e+25 -3.61634701e+26],1e+30,[ 3.84561593e-15 -6.15663414e-16],[ 3.84561593e-45 -6.15663414e-46]
[-2.70302968e+33 -2.80205970e+32],[-2.73033301e+26 -2.83036333e+25],1e+30,[3.30115874e-15 1.21195273e-16],[3.30115874e-45 1.21195273e-46]
[-5.83154016e+33  9.30341866e+33],[-5.89044460e+26  9.39739258e+26],1e+30,[ 5.25895967e-16 -2.54630657e-16],[ 5.25895967e-46 -2.54630657e-46]
[4.83223245e+33 2.23515389e+33],[4.88104288e+26 2.25773120e+26],1e+30,[-7.56171493e-16  1.53202734e-17],[-7.56171493e-46  1.53202734e-47]
[ 6.62599429e+33 -3.27318178e+33],[ 6.69292352e+26 -3.30624423e+26],1e+30,[-1.85596646e-16  1.07943999e-16],[-1.85596646e-46  1.07943999e-46]
[9.69086403e+32 1.24807998e+32],[9.78875157e+25 1.26068685e+25],1e+30,[-3.53124272e-15  5.39499647e-15],[-3.53124272e-45  5.39499647e-45]
[-2.12656700e+35  2.66249793e+35],[-2.14804747e+28  2.68939185e+28],1e+30,[ 3.63698128e-19 -4.57128788e-19],[ 3.63698128e-49 -4.57128788e-49]
[-7.47928439e+32  2.14727580e+33],[-7.55483270e+25  2.16896546e+26],1e+30,[-1.08594913e-14 -6.51598638e-15],[-1.08594913e-44 -6.51598638e-45]
[ 5.36697407e+33 -2.99869363e+33],[ 5.42118593e+26 -3.02898346e+26],1e+30,[-1.27547365e-15  2.09814979e-15],[-1.27547365e-45  2.09814979e-45]
[-1.11884507e+33  1.06541736e+33],[-1.13014653e+26  1.07617915e+26],1e+30,[7.10074947e-15 2.48470679e-16],[7.10074947e-45 2.48470679e-46]
[-6.57994228e+33 -1.77790615e+33],[-6.64640635e+26 -1.79586480e+26],1e+30,[2.07866967e-15 8.57339445e-16],[2.07866967e-45 8.57339445e-46]
[-2.90559331e+33  8.09605134e+33],[-2.93494274e+26  8.17782964e+26],1e+30,[ 2.05576016e-16 -1.16563886e-15],[ 2.05576016e-46 -1.16563886e-45]
[2.72851578e+33 4.69313641e+33],[2.75607654e+26 4.74054183e+26],1e+30,[-7.65740210e-16 -1.75129388e-15],[-7.65740210e-46 -1.75129388e-45]
