"Pozycja (x, y)","Prędkość (Vx, Vy)",Masa,"Siła (Fx, Fy)","Przyspieszenie (Ax, Ay)"
[1.17682729e+32 4.82923848e+33],[1.18871444e+25 4.87801866e+26],1e+30,[ 1.5862043e-16 -2.5129415e-15],[ 1.5862043e-46 -2.5129415e-45]
[6.28057824e+31 6.04134730e+33],[6.34401832e+24 6.10237100e+26],1e+30,[-6.52119717e-16 -1.24057416e-15],[-6.52119717e-46 -1.24057416e-45]
[-2.70989068e+33 -1.15404628e+33],[-2.73726331e+26 -1.16570331e+26],1e+30,[2.78452855e-15 1.64944127e-15],[2.78452855e-45 1.64944127e-45]
[ 6.87123486e+33 -2.69217504e+33],[ 6.94064127e+26 -2.71936873e+26],1e+30,[-8.28434719e-16  3.78101939e-17],[-8.28434719e-46  3.78101939e-47]
[-4.58936765e+33 -1.49232789e+33],[-4.63572490e+26 -1.50740191e+26],1e+30,[-1.88820799e-17  2.07901483e-16],[-1.88820799e-47  2.07901483e-46]
[-1.91172441e+33  6.02385495e+32],[-1.93103476e+26  6.08470198e+25],1e+30,[8.88414820e-15 8.31941851e-15],[8.88414820e-45 8.31941851e-45]
[-1.28415870e+33 -3.30035836e+33],[-1.29713000e+26 -3.33369531e+26],1e+30,[1.19440532e-15 1.80343529e-15],[1.19440532e-45 1.80343529e-45]
[-1.22200772e+33 -2.73859356e+33],[-1.23435123e+26 -2.76625612e+26],1e+30,[-3.61473547e-16 -6.22805723e-16],[-3.61473547e-46 -6.22805723e-46]
[-2.18694440e+33 -1.34739984e+33],[-2.20903475e+26 -1.36100994e+26],1e+30,[1.65137901e-15 1.44186730e-14],[1.65137901e-45 1.44186730e-44]
[-5.41558299e+33 -8.58939579e+33],[-5.47028585e+26 -8.67615736e+26],1e+30,[3.97514078e-15 4.44319295e-15],[3.97514078e-45 4.44319295e-45]
[-2.15007318e+33 -2.89527378e+33],[-2.17179109e+26 -2.92451897e+26],1e+30,[2.90737861e-15 3.73176554e-15],[2.90737861e-45 3.73176554e-45]
[7.99961165e+30 8.70321605e+32],[8.08041595e+23 8.79112732e+25],1e+30,[-2.92206337e-15  1.85851338e-15],[-2.92206337e-45  1.85851338e-45]
[-9.35797646e+32 -1.26009387e+33],[-9.45250149e+25 -1.27282209e+26],1e+30,[-1.58041111e-15  3.89669953e-15],[-1.58041111e-45  3.89669953e-45]
[2.25842666e+33 1.67789394e+34],[2.28123905e+26 1.69484237e+27],1e+30,[ 7.08018393e-19 -1.28381863e-16],[ 7.08018393e-49 -1.28381863e-46]
[-1.42812903e+33 -7.83821041e+33],[-1.44255458e+26 -7.91738425e+26],1e+30,[1.76270947e-19 1.19295926e-15],[1.76270947e-49 1.19295926e-45]
[-7.53450383e+32 -2.41372370e+32],[-7.61060993e+25 -2.43810475e+25],1e+30,[1.11894846e-14 5.17220926e-15],[1.11894846e-44 5.17220926e-45]
[-1.07799483e+33 -2.25846540e+32],[-1.08888367e+26 -2.28127818e+25],1e+30,[4.32865628e-15 1.74128415e-15],[4.32865628e-45 1.74128415e-45]
[ 7.70462239e+33 -1.94456183e+33],[ 7.78244686e+26 -1.96420387e+26],1e+30,[-1.06472817e-15  4.28132424e-16],[-1.06472817e-45  4.28132424e-46]
[ 2.36323388e+33 -7.66758619e+33],[ 2.38710493e+26 -7.74503655e+26],1e+30,[ 1.54111106e-14 -3.65553022e-15],[ 1.54111106e-44 -3.65553022e-45]
[1.96671831e+35 2.07600679e+35],[1.98658415e+28 2.09697655e+28],1e+30,[-5.68322739e-19 -6.01756529e-19],[-5.68322739e-49 -6.01756529e-49]
[-8.44439400e+33 -2.45041543e+33],[-8.52969091e+26 -2.47516710e+26],1e+30,[8.65259452e-16 8.59086289e-17],[8.65259452e-46 8.59086289e-47]
[ 1.73368802e+33 -2.43276796e+33],[ 1.75120002e+26 -2.45734138e+26],1e+30,[ 5.71477531e-15 -2.90390799e-14],[ 5.71477531e-45 -2.90390799e-44]
[-7.10914333e+32 -1.23432228e+33],[-7.18095286e+25 -1.24679018e+26],1e+30,[4.75449989e-16 5.20728825e-15],[4.75449989e-46 5.20728825e-45]
[ 2.22374462e+35 -5.80510735e+34],[ 2.24620669e+28 -5.86374480e+27],1e+30,[-1.23769352e-18  3.38148240e-19],[-1.23769352e-48  3.38148240e-49]
[4.68039427e+33 6.47322817e+33],[4.72767098e+26 6.53861431e+26],1e+30,[-3.01801676e-15 -1.42793917e-15],[-3.01801676e-45 -1.42793917e-45]
[4.53966840e+33 2.36933479e+33],[4.58552363e+26 2.39326747e+26],1e+30,[-4.38276739e-16 -1.11052680e-15],[-4.38276739e-46 -1.11052680e-45]
[ 3.44730982e+34 -8.15954187e+34],[ 3.48213113e+27 -8.24196149e+27],1e+30,[-3.18465017e-18  7.90060265e-18],[-3.18465017e-48  7.90060265e-48]
[1.80580954e+33 6.87810458e+32],[1.82405004e+26 6.94758038e+25],1e+30,[-1.82020372e-15 -3.03454417e-15],[-1.82020372e-45 -3.03454417e-45]
[-5.00526564e+33  1.62683185e+34],[-5.05582387e+26  1.64326449e+27],1e+30,[ 9.31294609e-17 -2.50697391e-16],[ 9.31294609e-47 -2.50697391e-46]
[-2.40055946e+33  5.31274159e+33],[-2.42480753e+26  5.36640564e+26],1e+30,[ 9.89152445e-16 -2.02399958e-15],[ 9.89152445e-46 -2.02399958e-45]
[1.52356055e+34 3.45524668e+33],[1.53895006e+27 3.49014816e+26],1e+30,[-2.65251929e-16 -3.59695941e-17],[-2.65251929e-46 -3.59695941e-47]
[ 7.37393243e+33 -1.62407408e+33],[ 7.44841660e+26 -1.64047887e+26],1e+30,[-5.93044764e-16 -8.29289148e-18],[-5.93044764e-46 -8.29289148e-48]
[3.70555346e+33 1.78717957e+33],[3.74298329e+26 1.80523189e+26],1e+30,[-2.58625181e-15 -3.39985055e-15],[-2.58625181e-45 -3.39985055e-45]
[-3.26561419e+33  5.62630102e+33],[-3.29860019e+26  5.68313235e+26],1e+30,[ 8.7065781e-16 -8.7853073e-16],[ 8.7065781e-46 -8.7853073e-46]
[3.59639012e+33 3.43886385e+33],[3.63271730e+26 3.47359985e+26],1e+30,[-2.74121389e-16  2.44342731e-16],[-2.74121389e-46  2.44342731e-46]
[-1.07061647e+33 -9.72966980e+32],[-1.08143078e+26 -9.82794930e+25],1e+30,[2.40182350e-15 8.84518684e-16],[2.40182350e-45 8.84518684e-46]
[-2.70803206e+33 -1.10247346e+31],[-2.73538592e+26 -1.11360951e+24],1e+30,[ 9.20218551e-16 -1.30989952e-15],[ 9.20218551e-46 -1.30989952e-45]
[ 2.00294456e+33 -6.45799579e+32],[ 2.02317632e+26 -6.52322808e+25],1e+30,[7.71278287e-16 1.78740418e-15],[7.71278287e-46 1.78740418e-45]
[5.58524122e+33 1.32164584e+33],[5.6416578e+26 1.3349958e+26],1e+30,[-4.43217533e-16 -2.23377317e-15],[-4.43217533e-46 -2.23377317e-45]
[-1.12344474e+35 -8.68751226e+33],[-1.13479267e+28 -8.77526491e+26],1e+30,[5.42086254e-18 4.12602326e-19],[5.42086254e-48 4.12602326e-49]
[-1.56079877e+33  4.29125697e+32],[-1.57656441e+26  4.33460299e+25],1e+30,[4.87153649e-15 1.03146409e-15],[4.87153649e-45 1.03146409e-45]
[-4.97439069e+32  8.34302695e+32],[-5.02463706e+25  8.42729995e+25],1e+30,[-2.39328541e-15 -1.81999456e-14],[-2.39328541e-45 -1.81999456e-44]
[ 4.21919364e+33 -2.51675740e+33],[ 4.26181176e+26 -2.54217919e+26],1e+30,[-1.66109512e-15  1.28500796e-15],[-1.66109512e-45  1.28500796e-45]
[-5.33950487e+33 -8.50453409e+33],[-5.39343926e+26 -8.59043848e+26],1e+30,[-3.00066672e-15 -3.34964287e-15],[-3.00066672e-45 -3.34964287e-45]
[-6.40888153e+32  1.22211644e+33],[-6.47361770e+25  1.23446105e+26],1e+30,[-1.28408829e-15 -1.74209290e-15],[-1.28408829e-45 -1.74209290e-45]
[-4.31898514e+33 -2.79419435e+33],[-4.36261128e+26 -2.82241856e+26],1e+30,[3.37201245e-15 1.46583700e-15],[3.37201245e-45 1.46583700e-45]
[2.15061255e+33 2.60046993e+33],[2.17233591e+26 2.62673730e+26],1e+30,[-1.98021507e-17 -3.74136150e-15],[-1.98021507e-47 -3.74136150e-45]
[-6.73109563e+32 -1.05140513e+33],[-6.79908648e+25 -1.06202538e+26],1e+30,[3.07430737e-13 6.88240758e-13],[3.07430737e-43 6.88240758e-43]
[ 5.70066635e+33 -3.42699812e+33],[ 5.75824884e+26 -3.46161427e+26],1e+30,[-1.04352211e-15  9.14483556e-16],[-1.04352211e-45  9.14483556e-46]
[-5.67130622e+33 -1.23817564e+33],[-5.72859214e+26 -1.25068247e+26],1e+30,[1.32781596e-15 1.35885008e-15],[1.32781596e-45 1.35885008e-45]
[-5.01284045e+32  5.71444471e+32],[-5.06347518e+25  5.77216635e+25],1e+30,[8.20663184e-15 8.06175708e-15],[8.20663184e-45 8.06175708e-45]
[3.43533409e+33 8.24430414e+32],[3.47003444e+26 8.32757993e+25],1e+30,[ 2.40938917e-15 -1.96304665e-15],[ 2.40938917e-45 -1.96304665e-45]
[-6.80685434e+33 -4.22802552e+33],[-6.87561044e+26 -4.27073284e+26],1e+30,[4.68993652e-17 9.71747016e-16],[4.68993652e-47 9.71747016e-46]
[-2.81112704e+34 -1.46240239e+33],[-2.83952227e+27 -1.47717413e+26],1e+30,[8.21989512e-17 3.93368594e-18],[8.21989512e-47 3.93368594e-48]
[-9.44261155e+32  4.59627693e+32],[-9.53799146e+25  4.64270397e+25],1e+30,[1.10055096e-15 2.13615615e-15],[1.10055096e-45 2.13615615e-45]
[-1.61149041e+33 -6.07635712e+33],[-1.62776810e+26 -6.13773447e+26],1e+30,[4.11454685e-16 8.30101943e-16],[4.11454685e-46 8.30101943e-46]
[5.90055005e+35 3.63313245e+34],[5.96015157e+28 3.66983076e+27],1e+30,[-1.94621115e-19 -1.20404629e-20],[-1.94621115e-49 -1.20404629e-50]
[2.36991319e+33 5.85041207e+32],[2.39385170e+26 5.90950714e+25],1e+30,[-4.07724905e-15 -2.69658901e-15],[-4.07724905e-45 -2.69658901e-45]
[-4.53366438e+33  1.78442676e+33],[-4.57945897e+26  1.80245127e+26],1e+30,[ 1.43741035e-15 -3.24457947e-16],[ 1.43741035e-45 -3.24457947e-46]
[-1.68174894e+34 -1.78184549e+34],[-1.69873631e+27 -1.79984393e+27],1e+30,[6.67354176e-17 1.95260184e-16],[6.67354176e-47 1.95260184e-46]
[-5.68026834e+32  1.93743558e+33],[-5.73764479e+25  1.95700563e+26],1e+30,[-2.58697122e-15 -3.41948767e-15],[-2.58697122e-45 -3.41948767e-45]
[ 1.85319523e+33 -8.65519011e+33],[ 1.87191437e+26 -8.74261627e+26],1e+30,[-1.15925742e-16  8.17436543e-16],[-1.15925742e-46  8.17436543e-46]
[-9.52168995e+33 -1.19522724e+34],[-9.61786864e+26 -1.20730025e+27],1e+30,[2.04740391e-16 1.87700966e-16],[2.04740391e-46 1.87700966e-46]
[ 1.82435076e+32 -3.88589656e+33],[ 1.84277855e+25 -3.92514804e+26],1e+30,[-5.22120330e-15  4.02950586e-15],[-5.22120330e-45  4.02950586e-45]
[-1.68788544e+34 -1.70629648e+34],[-1.70493478e+27 -1.72353180e+27],1e+30,[ 9.18494840e-17 -3.82893766e-17],[ 9.18494840e-47 -3.82893766e-47]
[2.58307979e+32 1.17144172e+33],[2.60917149e+25 1.18327447e+26],1e+30,[-2.11182912e-15 -4.02037562e-15],[-2.11182912e-45 -4.02037562e-45]
[ 3.16738793e+33 -5.36611390e+32],[ 3.19938175e+26 -5.42031707e+25],1e+30,[-1.84205305e-15  2.29481857e-15],[-1.84205305e-45  2.29481857e-45]
[3.08290427e+33 1.71931996e+34],[3.11404472e+26 1.73668683e+27],1e+30,[-1.38077050e-16 -2.50028641e-16],[-1.38077050e-46 -2.50028641e-46]
[ 1.33380883e+33 -3.76752702e+32],[ 1.34728165e+26 -3.80558285e+25],1e+30,[3.12588379e-15 3.90104082e-15],[3.12588379e-45 3.90104082e-45]
[-7.99232889e+32  4.81475797e+33],[-8.07305949e+25  4.86339189e+26],1e+30,[-2.37617949e-15 -3.46847319e-15],[-2.37617949e-45 -3.46847319e-45]
[1.23118988e+33 2.40801250e+33],[1.24362614e+26 2.43233586e+26],1e+30,[-1.84966001e-15 -1.64436907e-15],[-1.84966001e-45 -1.64436907e-45]
[-1.31508325e+33 -3.73242724e+33],[-1.32836692e+26 -3.77012853e+26],1e+30,[1.94601477e-15 2.91413178e-15],[1.94601477e-45 2.91413178e-45]
[-8.71831938e+33 -3.55934622e+33],[-8.80638321e+26 -3.59529921e+26],1e+30,[7.63459763e-16 3.34566250e-16],[7.63459763e-46 3.34566250e-46]
[1.12256559e+33 6.04085467e+33],[1.13390464e+26 6.10187341e+26],1e+30,[-5.38972561e-16 -1.22431982e-15],[-5.38972561e-46 -1.22431982e-45]
[ 1.98630129e+33 -3.69199112e+32],[ 2.00636494e+26 -3.72928397e+25],1e+30,[ 4.52927074e-16 -5.28709175e-16],[ 4.52927074e-46 -5.28709175e-46]
[-7.48789115e+33 -4.59628138e+33],[-7.56352641e+26 -4.64270846e+26],1e+30,[7.08576540e-16 5.89117165e-16],[7.08576540e-46 5.89117165e-46]
[ 5.54905404e+33 -1.11424711e+34],[ 5.60510509e+26 -1.12550213e+27],1e+30,[-2.13918446e-16  3.58864513e-16],[-2.13918446e-46  3.58864513e-46]
[-3.93880197e+33 -7.21062551e+32],[-3.97858785e+26 -7.28346013e+25],1e+30,[3.14003243e-15 1.82819939e-15],[3.14003243e-45 1.82819939e-45]
[-1.35798101e+33  7.13566667e+33],[-1.37169799e+26  7.20774411e+26],1e+30,[ 3.0792096e-16 -1.2682285e-15],[ 3.0792096e-46 -1.2682285e-45]
[-6.94136045e+31 -1.63852581e+33],[-7.01147522e+24 -1.65507657e+26],1e+30,[1.87269811e-15 1.99385617e-15],[1.87269811e-45 1.99385617e-45]
[ 1.56439943e+33 -1.92276245e+33],[ 1.58020145e+26 -1.94218429e+26],1e+30,[-5.64868515e-16  5.96335265e-15],[-5.64868515e-46  5.96335265e-45]
[4.65160839e+33 1.38414641e+33],[4.69859433e+26 1.39812769e+26],1e+30,[-2.57762625e-15 -8.49484710e-16],[-2.57762625e-45 -8.49484710e-46]
[-2.01716134e+33 -4.05995553e+33],[-2.03753671e+26 -4.10096519e+26],1e+30,[ 2.37037553e-15 -5.30461889e-14],[ 2.37037553e-45 -5.30461889e-44]
[ 5.17717155e+31 -3.50970975e+31],[ 5.22946625e+24 -3.54516132e+24],1e+30,[ 7.26138588e-16 -5.45692171e-16],[ 7.26138588e-46 -5.45692171e-46]
[-2.85847495e+33  1.28816092e+33],[-2.88734843e+26  1.30117264e+26],1e+30,[ 1.51462546e-15 -1.08544115e-15],[ 1.51462546e-45 -1.08544115e-45]
[ 3.52409997e+33 -1.26452521e+34],[ 3.55969694e+26 -1.27729819e+27],1e+30,[-1.55199475e-16  6.18960633e-16],[-1.55199475e-46  6.18960633e-46]
[ 1.43648684e+33 -3.23180248e+33],[ 1.45099681e+26 -3.26444695e+26],1e+30,[-2.25012480e-15  2.42945205e-15],[-2.25012480e-45  2.42945205e-45]
[5.42354009e+34 2.70461520e+33],[5.47832333e+27 2.73193454e+26],1e+30,[-2.29394423e-17 -1.97728529e-18],[-2.29394423e-47 -1.97728529e-48]
[9.18987081e+31 2.73772117e+33],[9.28269778e+24 2.76537492e+26],1e+30,[-4.26463011e-16 -2.81166787e-15],[-4.26463011e-46 -2.81166787e-45]
[3.72909337e+32 1.05780998e+33],[3.76676098e+25 1.06849493e+26],1e+30,[-5.23726438e-15 -2.43897464e-15],[-5.23726438e-45 -2.43897464e-45]
[ 2.36448597e+34 -2.70145012e+34],[ 2.38836967e+27 -2.72873750e+27],1e+30,[-3.42221513e-17  3.71194208e-17],[-3.42221513e-47  3.71194208e-47]
[-3.83527404e+32 -9.75042663e+33],[-3.87401418e+25 -9.84891579e+26],1e+30,[2.32215338e-16 8.52673164e-16],[2.32215338e-46 8.52673164e-46]
[1.76350122e+33 2.93397397e+33],[1.78131436e+26 2.96361007e+26],1e+30,[-2.14686492e-13 -9.66555836e-14],[-2.14686492e-43 -9.66555836e-44]
[1.32029736e+33 3.98100069e+32],[1.33363370e+26 4.02121284e+25],1e+30,[ 2.36095069e-16 -8.21944914e-16],[ 2.36095069e-46 -8.21944914e-46]
[-6.83899900e+34  5.74534041e+33],[-6.90807979e+27  5.80337415e+26],1e+30,[ 1.52063163e-17 -1.72472045e-18],[ 1.52063163e-47 -1.72472045e-48]
[3.51845893e+33 7.30379064e+32],[3.55399892e+26 7.37756631e+25],1e+30,[-3.50860297e-15  4.57772183e-15],[-3.50860297e-45  4.57772183e-45]
[-4.26061682e+33  2.04786684e+33],[-4.30365335e+26  2.06855236e+26],1e+30,[ 9.76638282e-16 -8.12272785e-16],[ 9.76638282e-46 -8.12272785e-46]
[-4.55089906e+32 -7.86301321e+31],[-4.59686773e+25 -7.94243759e+24],1e+30,[-1.01241292e-13 -1.16021018e-13],[-1.01241292e-43 -1.16021018e-43]
[-2.35780209e+33 -3.16514211e+33],[-2.38161827e+26 -3.19711325e+26],1e+30,[2.61257267e-15 2.55786523e-15],[2.61257267e-45 2.55786523e-45]
[2.75309730e+33 1.67005966e+33],[2.78090636e+26 1.68692895e+26],1e+30,[ 6.24395321e-15 -2.25930166e-15],[ 6.24395321e-45 -2.25930166e-45]
[2.14452414e+34 1.94766187e+34],[2.16618600e+27 1.96733522e+27],1e+30,[-6.36144789e-17 -5.48440257e-17],[-6.36144789e-47 -5.48440257e-47]
[-7.18500414e+34 -1.32910582e+34],[-7.25757994e+27 -1.34253113e+27],1e+30,[1.21805681e-17 2.16845569e-18],[1.21805681e-47 2.16845569e-48]
[4.09926362e+33 1.28416495e+32],[4.14067032e+26 1.29713631e+25],1e+30,[-2.06471869e-15 -1.03102411e-16],[-2.06471869e-45 -1.03102411e-46]
[ 4.35764900e+34 -2.53917854e+34],[ 4.40166565e+27 -2.56482681e+27],1e+30,[-2.30160913e-17  1.37151635e-17],[-2.30160913e-47  1.37151635e-47]
[1.52060529e+33 1.99567492e+33],[1.53596494e+26 2.01583325e+26],1e+30,[ 6.73063845e-16 -1.32819610e-14],[ 6.73063845e-46 -1.32819610e-44]
[-1.34428899e+34  5.70607188e+33],[-1.35786767e+27  5.76370897e+26],1e+30,[ 3.03358954e-16 -1.28250545e-16],[ 3.03358954e-46 -1.28250545e-46]
[-5.70240005e+32 -1.27991694e+34],[-5.76000005e+25 -1.29284540e+27],1e+30,[-1.30998086e-15 -2.14065878e-16],[-1.30998086e-45 -2.14065878e-46]
[-1.38886467e+33 -6.84159049e+33],[-1.40289361e+26 -6.91069747e+26],1e+30,[-1.08349889e-15  2.00258633e-15],[-1.08349889e-45  2.00258633e-45]
[8.52350539e+33 5.20399260e+32],[8.60960141e+26 5.25655818e+25],1e+30,[-7.82447301e-16 -3.24773703e-16],[-7.82447301e-46 -3.24773703e-46]
[-1.42980517e+33  1.72117040e+33],[-1.44424764e+26  1.73855596e+26],1e+30,[ 4.77712358e-16 -1.42309990e-15],[ 4.77712358e-46 -1.42309990e-45]
[-7.18485372e+33 -2.75620014e+33],[-7.25742800e+26 -2.78404055e+26],1e+30,[8.08352062e-16 6.67819383e-16],[8.08352062e-46 6.67819383e-46]
[5.81797044e+33 2.42914282e+33],[5.87673782e+26 2.45367961e+26],1e+30,[-1.74222844e-15 -6.53695711e-16],[-1.74222844e-45 -6.53695711e-46]
[-2.73550637e+33  2.59531957e+33],[-2.76313774e+26  2.62153492e+26],1e+30,[ 1.88646303e-15 -9.63750652e-16],[ 1.88646303e-45 -9.63750652e-46]
[1.39589485e+33 4.28036607e+33],[1.40999479e+26 4.32360209e+26],1e+30,[-7.66594496e-16 -2.38818251e-15],[-7.66594496e-46 -2.38818251e-45]
[-9.75993706e+33  1.87992556e+33],[-9.85852228e+26  1.89891470e+26],1e+30,[ 5.37057039e-16 -4.40548754e-16],[ 5.37057039e-46 -4.40548754e-46]
[ 2.20314301e+33 -5.67793767e+32],[ 2.22539698e+26 -5.73529057e+25],1e+30,[1.58308452e-15 2.26521636e-15],[1.58308452e-45 2.26521636e-45]
[-1.85345056e+33  5.42340023e+33],[-1.87217228e+26  5.47818205e+26],1e+30,[ 2.82661775e-15 -1.97291247e-15],[ 2.82661775e-45 -1.97291247e-45]
[-6.31072212e+33  2.50893007e+33],[-6.37446679e+26  2.53427280e+26],1e+30,[ 7.31844629e-16 -5.38092890e-16],[ 7.31844629e-46 -5.38092890e-46]
[ 6.77231807e+33 -7.33931886e+33],[ 6.84072532e+26 -7.41345339e+26],1e+30,[-4.61390261e-16  4.49568049e-16],[-4.61390261e-46  4.49568049e-46]
[-6.65596873e+33 -1.74194235e+34],[-6.72320074e+26 -1.75953773e+27],1e+30,[3.79377369e-17 2.26608098e-16],[3.79377369e-47 2.26608098e-46]
[-5.64387186e+33 -5.18280026e+32],[-5.70088066e+26 -5.23515178e+25],1e+30,[-1.12795845e-14 -1.05000172e-14],[-1.12795845e-44 -1.05000172e-44]
[-3.79383592e+33 -8.41252515e+33],[-3.83215750e+26 -8.49750015e+26],1e+30,[1.29880283e-16 1.14637112e-15],[1.29880283e-46 1.14637112e-45]
[-3.12452999e+33  4.12891647e+32],[-3.15609090e+26  4.17062271e+25],1e+30,[2.03309775e-13 8.07542197e-14],[2.03309775e-43 8.07542197e-44]
[-4.57908124e+33 -7.29903044e+33],[-4.62533460e+26 -7.37275806e+26],1e+30,[9.25400300e-16 2.54062662e-16],[9.25400300e-46 2.54062662e-46]
[2.58006174e+32 1.70951942e+33],[2.60612297e+25 1.72678729e+26],1e+30,[-7.97770748e-16 -9.43117115e-16],[-7.97770748e-46 -9.43117115e-46]
[-1.33442632e+33  1.07596791e+33],[-1.34790537e+26  1.08683627e+26],1e+30,[1.57812879e-14 2.00671474e-14],[1.57812879e-44 2.00671474e-44]
[-4.00537053e+33 -2.06218586e+33],[-4.04582882e+26 -2.08301602e+26],1e+30,[4.75435364e-16 6.93597661e-16],[4.75435364e-46 6.93597661e-46]
[-9.36953018e+32  6.77119165e+32],[-9.46417190e+25  6.83958752e+25],1e+30,[ 3.35488769e-15 -2.78266170e-15],[ 3.35488769e-45 -2.78266170e-45]
[2.33320128e+33 2.47772707e+33],[2.35676897e+26 2.50275461e+26],1e+30,[-3.57118150e-15 -3.93901551e-15],[-3.57118150e-45 -3.93901551e-45]
[-1.56897173e+34  1.92215175e+33],[-1.58481993e+27  1.94156743e+26],1e+30,[ 2.55045440e-16 -2.59290023e-17],[ 2.55045440e-46 -2.59290023e-47]
[-7.96950141e+32  2.21565990e+33],[-8.05000130e+25  2.23804034e+26],1e+30,[ 7.16932044e-15 -1.41564935e-14],[ 7.16932044e-45 -1.41564935e-44]
[-3.87383720e+32 -2.20534132e+33],[-3.91296688e+25 -2.22761749e+26],1e+30,[ 3.69605790e-15 -5.96835237e-15],[ 3.69605790e-45 -5.96835237e-45]
[1.94684231e+34 2.14124620e+32],[1.96650739e+27 2.16287495e+25],1e+30,[-1.74381584e-16 -9.85770056e-18],[-1.74381584e-46 -9.85770056e-48]
[3.92734085e+33 1.46793853e+33],[3.96701096e+26 1.48276619e+26],1e+30,[-3.67848693e-15 -2.37275562e-15],[-3.67848693e-45 -2.37275562e-45]
[-3.88098406e+33 -9.71818144e+33],[-3.92018592e+26 -9.81634489e+26],1e+30,[-1.06287955e-16  5.01836891e-16],[-1.06287955e-46  5.01836891e-46]
[-1.60621615e+33  1.97587870e+33],[-1.62244055e+26  1.99583707e+26],1e+30,[2.84508072e-15 1.38609282e-15],[2.84508072e-45 1.38609282e-45]
[ 4.64536825e+33 -3.06118882e+33],[ 4.69229117e+26 -3.09210992e+26],1e+30,[-1.02369354e-15  1.10446812e-15],[-1.02369354e-45  1.10446812e-45]
[ 1.02182871e+34 -1.00738959e+34],[ 1.03215021e+27 -1.01756524e+27],1e+30,[-2.82865267e-16  2.24149139e-16],[-2.82865267e-46  2.24149139e-46]
[-3.41667220e+33  1.60691978e+33],[-3.45118404e+26  1.62315129e+26],1e+30,[ 2.27715660e-15 -1.80225093e-15],[ 2.27715660e-45 -1.80225093e-45]
[-4.68665690e+32 -9.43120843e+31],[-4.73399686e+25 -9.52647318e+24],1e+30,[1.05022870e-13 1.21748142e-13],[1.05022870e-43 1.21748142e-43]
[-3.07356748e+32 -2.28370346e+33],[-3.10461361e+25 -2.30677117e+26],1e+30,[-5.94672825e-15 -5.29510402e-16],[-5.94672825e-45 -5.29510402e-46]
[-4.04174438e+33 -9.04072934e+33],[-4.08257008e+26 -9.13204984e+26],1e+30,[3.18260421e-16 6.86228152e-16],[3.18260421e-46 6.86228152e-46]
[-6.86717764e+33  1.99495265e+33],[-6.93654308e+26  2.01510369e+26],1e+30,[ 1.48425760e-15 -6.54340621e-16],[ 1.48425760e-45 -6.54340621e-46]
[-6.29222530e+34  2.25317707e+34],[-6.35578313e+27  2.27593644e+27],1e+30,[ 1.41803105e-17 -5.48437141e-18],[ 1.41803105e-47 -5.48437141e-48]
[-3.12815483e+33 -7.78761881e+31],[-3.15975235e+26 -7.86628164e+24],1e+30,[1.71039723e-14 3.19469591e-14],[1.71039723e-44 3.19469591e-44]
[ 1.85947962e+33 -2.88792861e+33],[ 1.87826224e+26 -2.91709960e+26],1e+30,[-2.61811518e-15  3.35788951e-15],[-2.61811518e-45  3.35788951e-45]
[-5.84689571e+34 -2.93723015e+34],[-5.90595526e+27 -2.96689914e+27],1e+30,[1.40621765e-17 7.25968176e-18],[1.40621765e-47 7.25968176e-48]
[-1.30324784e+33  4.81593080e+33],[-1.31641196e+26  4.86457657e+26],1e+30,[ 1.36650239e-15 -7.44971522e-15],[ 1.36650239e-45 -7.44971522e-45]
[-1.45266412e+32 -2.49480714e+33],[-1.46733750e+25 -2.52000722e+26],1e+30,[-3.10285613e-15  2.00023191e-15],[-3.10285613e-45  2.00023191e-45]
[ 1.60204326e+33 -4.77790253e+32],[ 1.61822551e+26 -4.82616417e+25],1e+30,[-2.21358691e-14  1.34910483e-14],[-2.21358691e-44  1.34910483e-44]
[ 3.24159007e+33 -1.10599185e+33],[ 3.27433340e+26 -1.11716349e+26],1e+30,[5.41046355e-16 1.99988106e-15],[5.41046355e-46 1.99988106e-45]
[-3.15243184e+33  5.71498170e+31],[-3.18427459e+26  5.77270879e+24],1e+30,[5.94986356e-15 5.02697214e-15],[5.94986356e-45 5.02697214e-45]
[ 5.32944405e+33 -2.29104864e+33],[ 5.38327681e+26 -2.31419055e+26],1e+30,[-1.55217621e-15  1.99898514e-16],[-1.55217621e-45  1.99898514e-46]
[ 6.73182090e+32 -1.54996264e+33],[ 6.79981909e+25 -1.56561883e+26],1e+30,[ 1.53534375e-15 -2.15617340e-15],[ 1.53534375e-45 -2.15617340e-45]
[9.23103297e+32 1.89307837e+33],[9.32427573e+25 1.91220037e+26],1e+30,[-1.53110705e-15 -2.07656213e-15],[-1.53110705e-45 -2.07656213e-45]
[-6.45811514e+32 -2.25688459e+33],[-6.52334863e+25 -2.27968140e+26],1e+30,[2.86713780e-15 2.70326149e-16],[2.86713780e-45 2.70326149e-46]
[-6.61932761e+32  7.75626727e+32],[-6.68618950e+25  7.83461341e+25],1e+30,[ 5.38326975e-15 -6.11441276e-15],[ 5.38326975e-45 -6.11441276e-45]
[7.07580730e+33 7.74825664e+33],[7.14728010e+26 7.82652186e+26],1e+30,[-3.11254115e-16 -4.73982648e-16],[-3.11254115e-46 -4.73982648e-46]
