0
[4.44159072e+21 7.33053483e+20]
[-1.15985278e+22 -3.21450138e+21]
[ 2.99339917e+22 -7.34149733e+21]
[-6.19130950e+21  8.86762493e+21]
[1.21321401e+22 7.51679777e+21]
[-8.62180958e+21  6.24686449e+21]
[2.23528149e+21 1.06823844e+22]
[6.44054124e+21 6.24506354e+21]
[ 2.43050343e+22 -1.38078740e+23]
[ 8.38348467e+21 -6.68385376e+21]
[1.61893518e+22 2.84269324e+22]
[6.30191945e+21 1.13776637e+22]
[ 1.92690617e+22 -1.22677163e+22]
[ 8.15871996e+22 -1.08662521e+23]
[ 2.09906159e+22 -5.03322236e+22]
[-3.84820278e+21 -1.79554494e+21]
[1.48579017e+22 4.06749938e+21]
[ 1.35317289e+22 -6.14467355e+21]
[1.12319177e+22 2.48145266e+22]
[ 1.27318538e+22 -1.56087000e+22]
[-1.05489598e+22 -2.25954119e+21]
[-2.23969370e+22 -3.13170027e+22]
[3.02012488e+22 3.01036389e+21]
[2.83958078e+21 1.73889818e+21]
[ 3.32697673e+21 -9.79177911e+21]
[-6.39634908e+21 -3.36831661e+22]
[-6.25654021e+22 -3.80899002e+22]
[-3.19249461e+22  6.19423196e+22]
[-2.30348742e+22  3.18185974e+22]
[-1.53866279e+22  9.46360942e+21]
[2.42046791e+21 6.28104705e+21]
[2.70274250e+21 2.75339028e+21]
[-1.68102674e+21 -1.46888761e+22]
[1.51339303e+22 3.60731166e+21]
[ 9.37443349e+21 -4.13554661e+21]
[-8.82435100e+21 -1.63480176e+23]
[-2.88511455e+22  1.47771196e+22]
[-1.13468044e+21  2.42570395e+21]
[ 4.09155916e+21 -2.99121448e+21]
[ 9.97005554e+22 -3.19339025e+23]
[7.04656604e+21 3.13277264e+21]
[-6.58740203e+21 -5.47081666e+22]
[-1.38464600e+22 -2.13333133e+21]
[1.61886813e+22 7.00964835e+21]
[-9.84601184e+22  3.45391463e+22]
[-1.13833369e+22 -2.19959761e+22]
[-2.23113966e+22 -1.06689582e+22]
[3.43294138e+22 5.48629289e+22]
[-4.81658831e+21 -9.55403965e+21]
[ 3.84680240e+21 -4.72211797e+21]
[-1.43086492e+22  7.90960383e+21]
[ 4.37496230e+22 -1.58247673e+21]
[-4.40027081e+21  2.23334430e+22]
[9.18727517e+21 1.11223339e+22]
[ 1.14366724e+22 -2.60843324e+22]
[-2.29645692e+21 -6.12968666e+21]
[ 2.24525839e+22 -1.66956215e+22]
[4.10230677e+22 8.28799165e+21]
[3.81455508e+21 2.31047142e+21]
[ 1.50441272e+22 -3.10794489e+21]
[ 9.51658271e+21 -1.39717462e+22]
[-1.75894816e+22  2.80455572e+22]
[1.83247749e+21 1.83034400e+22]
[-1.87340224e+22 -8.10855446e+21]
[-7.87679457e+21 -3.57838124e+21]
[-6.46049878e+21  2.30971683e+22]
[ 2.57680946e+21 -6.21235364e+21]
[-8.37676701e+21 -1.08004251e+22]
[1.08551779e+21 1.04347345e+22]
[-8.66337894e+21 -6.73380098e+21]
[-6.58375727e+21  4.69600256e+22]
[ 5.65397425e+21 -4.78430420e+21]
[8.86405082e+21 7.03266839e+21]
[-1.11313461e+22  4.96899576e+22]
[ 8.46451091e+20 -1.02249513e+22]
[-7.16217048e+21 -3.98470346e+20]
[-2.07753370e+22 -2.98414504e+22]
[8.93046737e+21 1.06924909e+21]
[-1.60126521e+22  2.10089745e+22]
[-4.40169442e+21  7.05339549e+21]
[ 2.63424563e+19 -3.31084171e+21]
[-1.18202034e+23 -5.40662393e+22]
[-1.23066659e+21 -5.02856348e+21]
[-4.00708241e+22  5.54393709e+22]
[-2.57478058e+23  6.35286113e+23]
[-1.68034486e+23  1.52761198e+23]
[1.24186985e+22 1.26559421e+22]
[ 1.54076385e+20 -1.21459853e+21]
[2.23385128e+22 1.40666050e+22]
[-1.10725680e+22 -4.33465075e+21]
[1.24123056e+21 4.42395224e+21]
[ 1.19382561e+22 -4.43998561e+22]
[-6.18577655e+21  9.83168868e+21]
[ 6.73992747e+21 -2.47593769e+20]
[1.65115836e+21 3.92863807e+21]
[ 1.95401941e+22 -1.48738758e+22]
[-1.69527746e+22  3.81560599e+21]
[1.26428997e+21 1.31465459e+21]
[-2.45537010e+21  1.18284533e+22]
[5.15598314e+21 2.66610670e+21]
[8.19589454e+21 5.77086112e+21]
[ 1.49170584e+22 -1.16033012e+22]
[-1.24459933e+22  8.21639438e+20]
[-4.20820186e+22 -1.42678390e+22]
[-8.59267759e+20 -5.84063631e+20]
[-6.00263076e+21  5.46070977e+21]
[ 1.27926500e+22 -1.56789749e+22]
[-5.26085280e+21 -3.35553224e+20]
[-2.35057374e+22  1.14518119e+22]
[-3.23038278e+22  1.61861602e+22]
[-8.15393517e+22 -5.51823334e+22]
[-6.46260501e+21  1.01547487e+21]
[1.38090382e+22 9.04979699e+21]
[-3.01186600e+21 -7.99039609e+21]
[ 5.50398606e+21 -1.22317209e+22]
[ 4.44275087e+21 -8.43748199e+20]
[-1.16928905e+22 -4.61674349e+21]
[ 2.26924634e+22 -1.63545627e+22]
[-1.13320308e+23  1.34723976e+23]
[-9.83902777e+21 -4.52352239e+21]
[ 2.25200308e+21 -1.28316248e+21]
[ 2.37625318e+22 -2.77311402e+21]
[ 1.13244915e+22 -3.13280519e+21]
[-1.33560974e+23  1.75674291e+23]
[-9.36667202e+21  2.46651640e+21]
[ 2.73316305e+21 -1.66068554e+21]
[-6.02777278e+21 -5.62682281e+21]
[-9.65810412e+21  3.90841173e+20]
[-5.69854505e+22  2.89918799e+22]
[-6.71590950e+21 -1.36133905e+22]
[-4.36837256e+21  1.05986460e+21]
[-6.80207280e+21  1.33897538e+22]
[ 3.82484149e+20 -4.49246561e+19]
[-2.06278559e+22 -1.30036354e+22]
[-8.80872573e+21 -1.47579946e+22]
[-1.88759310e+21  9.73443583e+21]
[8.36866261e+21 2.94559595e+21]
[-6.07935816e+21  7.02063484e+21]
[3.68399755e+21 1.63110267e+22]
[ 1.54371886e+21 -4.26360230e+20]
