0
[-7.08717180e+21 -3.62375941e+21]
[ 3.17129399e+21 -7.16158783e+21]
[-6.90443432e+22  5.14138513e+21]
[-1.43594680e+22  1.48277858e+22]
[-2.63068325e+20  6.90434916e+20]
[9.47988921e+21 1.02184152e+22]
[ 3.04454504e+21 -3.56347673e+21]
[ 4.10389605e+22 -5.43532412e+21]
[-3.55279625e+21  2.06418618e+21]
[5.16732325e+21 7.36238250e+21]
[3.03372517e+22 4.09485743e+21]
[5.94234847e+21 1.99511763e+22]
[ 8.78228831e+21 -5.31524632e+21]
[9.10577004e+21 1.35304431e+22]
[ 9.48165695e+21 -4.37501221e+21]
[-2.02544720e+21  6.62798852e+20]
[3.65551658e+21 1.53851769e+21]
[-3.22617095e+21  1.10025575e+22]
[-2.32118904e+20  6.05609439e+21]
[1.11594507e+22 2.44117515e+22]
[-1.09967149e+21  3.62328414e+21]
[-6.89212634e+21  4.17180091e+21]
[-1.27464148e+21 -7.19223070e+20]
[ 5.80143692e+21 -1.64075507e+20]
[-5.68734222e+21 -1.61102891e+21]
[ 1.57233085e+22 -1.28434405e+22]
[-9.25581069e+21  4.63773850e+21]
[-2.33996149e+21 -4.99305911e+21]
[-8.54685895e+21 -7.91028242e+21]
[ 9.18909730e+19 -4.00313278e+21]
[5.74062129e+22 2.24802319e+22]
[-2.06280330e+21  4.35457749e+21]
[-2.15680850e+21  6.31846662e+21]
[-7.51408033e+21 -6.78564550e+21]
[-1.49244972e+22 -2.32574165e+22]
[ 5.27107856e+22 -7.32282532e+22]
[ 1.56846231e+22 -2.74468568e+22]
[2.09333519e+21 7.45628392e+21]
[ 8.96844642e+21 -6.48558236e+21]
[ 1.12083368e+22 -1.11310111e+22]
[4.76102479e+22 2.55919497e+22]
[3.39985143e+21 8.83305169e+20]
[2.59148678e+21 6.84873476e+19]
[ 6.82069119e+21 -1.06818235e+22]
[ 1.87792805e+21 -2.22400266e+21]
[-1.50991216e+21 -2.67189463e+21]
[ 5.20238528e+21 -6.09245660e+21]
[-9.55675611e+21  2.75046400e+21]
[-1.68002139e+21 -2.36423096e+21]
[ 3.34278579e+22 -1.57606867e+22]
[-4.91191584e+21 -7.91113234e+20]
[-2.06413659e+21  8.78913999e+21]
[-8.07885922e+21  6.35803724e+22]
[-2.83018577e+21 -1.56337239e+21]
[-2.47348156e+20  3.54393764e+21]
[ 2.02487982e+22 -6.80497641e+21]
[5.96051252e+21 4.22849410e+20]
[8.84132909e+21 2.25038591e+21]
[-6.68503261e+21 -6.20475811e+21]
[ 9.08988375e+20 -9.51009172e+21]
[ 2.46534973e+21 -2.53184617e+21]
[-1.07668405e+22  1.18107780e+22]
[ 2.89747247e+21 -3.84465768e+21]
[ 5.76972565e+21 -8.80419019e+21]
[ 1.92980475e+21 -3.55711895e+21]
[1.85565132e+21 8.06476691e+21]
[-2.30312136e+22 -2.87503316e+22]
[-9.04513227e+21  8.10145292e+21]
[ 5.32794708e+21 -3.46860064e+20]
[3.13854197e+21 1.07972677e+22]
[-1.55409584e+21  1.27652908e+22]
[-4.53809917e+21  1.77536679e+22]
[ 2.78522597e+20 -1.62533631e+22]
[-1.90522230e+21  2.54018158e+21]
[-7.21468606e+20 -9.90377394e+20]
[-1.98071331e+22  1.16239166e+22]
[ 5.20324740e+21 -2.70821059e+21]
[ 1.71829250e+22 -2.19129411e+22]
[9.42067479e+21 6.56580864e+20]
[-1.88636323e+23  4.65160941e+22]
[2.05759950e+24 3.24791322e+24]
[-1.98009395e+22  1.90448920e+21]
[-1.38020336e+22 -1.89368561e+22]
