position,mass,velocity
[ 2.38190427e+34 -3.76646287e+33],1e+30,[ 2.41817693e+27 -3.82382017e+26]
[6.27917614e+33 6.55431157e+33],1e+30,[6.37479812e+26 6.65412342e+26]
[1.26712276e+33 8.71622128e+33],1e+30,[1.28641905e+26 8.84895562e+26]
[ 9.31389749e+32 -3.49937142e+33],1e+30,[ 9.45573349e+25 -3.55266134e+26]
[ 1.93694745e+33 -2.06354156e+33],1e+30,[ 1.96644411e+26 -2.09496605e+26]
[-3.79709962e+33 -1.62625507e+35],1e+30,[-3.85492348e+26 -1.65102037e+28]
[ 3.30614115e+32 -3.94299663e+33],1e+30,[ 3.35648848e+25 -4.00304226e+26]
[-9.27798918e+33  1.86949900e+34],1e+30,[-9.41927836e+26  1.89796853e+27]
[-4.06225698e+33 -2.02693855e+33],1e+30,[-4.12411876e+26 -2.05780564e+26]
[ 4.46693786e+33 -1.10857409e+34],1e+30,[ 4.53496230e+26 -1.12545593e+27]
[ 6.31906601e+33 -2.93479207e+33],1e+30,[ 6.41529544e+26 -2.97948433e+26]
[ 1.30544366e+34 -5.30199237e+33],1e+30,[ 1.32532351e+27 -5.38273337e+26]
[ 1.00306538e+34 -2.16598506e+34],1e+30,[ 1.01834049e+27 -2.19896961e+27]
[ 4.33806446e+34 -7.17729022e+34],1e+30,[ 4.40412636e+27 -7.28658905e+27]
[-5.71326014e+33 -5.60035291e+33],1e+30,[-5.80026410e+26 -5.68563747e+26]
[-1.20831541e+32  1.06941477e+33],1e+30,[-1.22671615e+25  1.08570027e+26]
[ 6.64601915e+33 -3.49225694e+33],1e+30,[ 6.74722756e+26 -3.54543851e+26]
[-2.08207441e+33 -7.03617779e+33],1e+30,[-2.11378113e+26 -7.14332771e+26]
[-9.56642573e+32 -2.59989078e+33],1e+30,[-9.71210734e+25 -2.63948302e+26]
[-4.56859419e+33 -9.40421791e+32],1e+30,[-4.63816669e+26 -9.54742935e+25]
[7.97124092e+34 5.91955626e+33],1e+30,[8.09263037e+27 6.00970179e+26]
[ 1.51042037e+33 -3.91583401e+33],1e+30,[ 1.5334217e+26 -3.9754660e+26]
[-1.59028398e+33  6.52477259e+33],1e+30,[-1.61450150e+26  6.62413461e+26]
[-9.10500261e+33  2.32847846e+32],1e+30,[-9.24365747e+26  2.36393752e+25]
[-5.42014539e+32 -3.48381993e+33],1e+30,[-5.50268567e+25 -3.53687302e+26]
[ 3.70840853e+33 -1.24918649e+33],1e+30,[ 3.76488176e+26 -1.26820964e+26]
[ 1.62322731e+33 -1.81488210e+33],1e+30,[ 1.64794651e+26 -1.84251989e+26]
[ 4.75588682e+33 -8.38598284e+31],1e+30,[ 4.82831149e+26 -8.51368817e+24]
[1.17528745e+34 2.35860451e+34],1e+30,[1.19318523e+27 2.39452235e+27]
[ 4.17115994e+32 -6.49516852e+33],1e+30,[ 4.23468015e+25 -6.59407972e+26]
[6.53314469e+32 1.26983843e+33],1e+30,[6.63263420e+25 1.28917607e+26]
[ 1.04643686e+34 -1.51773905e+33],1e+30,[ 1.06237245e+27 -1.54085182e+26]
[ 1.61688953e+33 -4.28375702e+33],1e+30,[ 1.64151222e+26 -4.34899190e+26]
[-1.56529324e+33  2.71171394e+33],1e+30,[-1.58913020e+26  2.75300907e+26]
[-3.54929128e+33  5.85179352e+31],1e+30,[-3.60334140e+26  5.94090713e+24]
[1.28345266e+33 1.50640228e+32],1e+30,[1.30299762e+26 1.52934241e+25]
[-2.46419661e+34  3.69146332e+34],1e+30,[-2.50172245e+27  3.74767849e+27]
[ 1.23724452e+34 -1.50764625e+34],1e+30,[ 1.25608580e+27 -1.53060533e+27]
[ 1.08007576e+34 -2.69907990e+33],1e+30,[ 1.09652361e+27 -2.74018264e+26]
[ 4.71791649e+32 -4.64749207e+33],1e+30,[ 4.78976293e+25 -4.71826606e+26]
[ 1.47051991e+33 -1.04196129e+33],1e+30,[ 1.49291361e+26 -1.05782872e+26]
[3.22067180e+33 6.22795885e+33],1e+30,[3.26971756e+26 6.32280086e+26]
[-3.22320832e+32  5.22478817e+33],1e+30,[-3.27229271e+25  5.30435347e+26]
[-5.40921994e+32 -2.99568012e+33],1e+30,[-5.49159385e+25 -3.04129961e+26]
[2.46519834e+33 7.53333747e+33],1e+30,[2.50273943e+26 7.64805835e+26]
[-2.55624832e+33  4.72783582e+32],1e+30,[-2.59517596e+26  4.79983332e+25]
[-4.57274615e+33  2.24739465e+33],1e+30,[-4.64238188e+26  2.28161894e+26]
[-1.17707849e+33 -7.66552503e+33],1e+30,[-1.19500354e+26 -7.78225892e+26]
[ 4.34493825e+33 -8.25940388e+33],1e+30,[ 4.41110482e+26 -8.38518160e+26]
[-3.16777227e+33 -3.12202347e+33],1e+30,[-3.21601246e+26 -3.16956697e+26]
[1.40893474e+33 6.21746009e+33],1e+30,[1.43039060e+26 6.31214223e+26]
[ 1.61551875e+33 -6.86581215e+31],1e+30,[ 1.64012056e+26 -6.97036767e+24]
[-1.62864313e+33 -8.52880889e+32],1e+30,[-1.65344481e+26 -8.65868922e+25]
[-6.28211897e+33  6.59254151e+33],1e+30,[-6.37778575e+26  6.69293554e+26]
[1.62463440e+33 3.65171839e+33],1e+30,[1.64937502e+26 3.70732831e+26]
[ 5.40901257e+33 -8.59153583e+33],1e+30,[ 5.49138332e+26 -8.72237140e+26]
[1.10502191e+34 2.18647354e+34],1e+30,[1.12184965e+27 2.21977009e+27]
[-1.49258249e+33 -2.01639427e+33],1e+30,[-1.51531217e+26 -2.04710078e+26]
[-1.07594220e+34 -9.67958832e+32],1e+30,[-1.09232710e+27 -9.82699322e+25]
[-1.49619731e+34 -6.38241731e+33],1e+30,[-1.51898205e+27 -6.47961149e+26]
[ 1.25205514e+33 -3.64606206e+32],1e+30,[ 1.27112197e+26 -3.70158584e+25]
[5.08643165e+33 1.00108761e+33],1e+30,[5.1638900e+26 1.0163326e+26]
[-2.65526752e+33 -1.92481451e+34],1e+30,[-2.69570307e+26 -1.95412641e+27]
[-4.12086816e+33  1.01513268e+33],1e+30,[-4.18362250e+26  1.03059156e+26]
[3.46421327e+33 1.87267198e+33],1e+30,[3.51696779e+26 1.90118983e+26]
[-1.52881732e+34 -5.43586845e+33],1e+30,[-1.55209880e+27 -5.51864817e+26]
[ 1.22522662e+33 -1.01135343e+32],1e+30,[ 1.24388490e+26 -1.02675475e+25]
[-9.71796106e+32 -1.61261558e+33],1e+30,[-9.86595032e+25 -1.63717318e+26]
[ 1.17990872e+33 -9.95928378e+32],1e+30,[ 1.19787687e+26 -1.01109480e+26]
[ 4.20337514e+34 -3.37467863e+34],1e+30,[ 4.26738592e+27 -3.42606967e+27]
[ 1.30830764e+34 -2.70888337e+34],1e+30,[ 1.32823111e+27 -2.75013540e+27]
[-9.58749525e+33 -4.82157897e+33],1e+30,[-9.73349772e+26 -4.89500403e+26]
[ 1.68099118e+33 -1.71297091e+33],1e+30,[ 1.70659004e+26 -1.73905676e+26]
[ 1.79335555e+34 -5.72514005e+32],1e+30,[ 1.82066553e+27 -5.81232492e+25]
[-4.44051122e+33 -3.89026172e+33],1e+30,[-4.50813322e+26 -3.94950429e+26]
[-2.14070588e+33 -1.11823332e+33],1e+30,[-2.17330546e+26 -1.13526225e+26]
[-2.14672120e+32  1.38460924e+33],1e+30,[-2.17941239e+25  1.40569466e+26]
[ 3.13216265e+33 -1.17059383e+33],1e+30,[ 3.17986056e+26 -1.18842013e+26]
[-1.03698207e+33 -1.18341407e+32],1e+30,[-1.05277368e+26 -1.20143560e+25]
[-1.23154001e+33  1.14070579e+33],1e+30,[-1.25029442e+26  1.15807694e+26]
[-1.97128366e+33 -1.61049331e+33],1e+30,[-2.00130321e+26 -1.63501859e+26]
[-4.51208818e+32 -2.24758787e+33],1e+30,[-4.58080018e+25 -2.28181509e+26]
[ 1.82448263e+33 -3.86451502e+33],1e+30,[ 1.85226663e+26 -3.92336550e+26]
[ 1.07591437e+33 -4.97405966e+33],1e+30,[ 1.09229885e+26 -5.04980676e+26]
[4.73090244e+33 1.78325877e+33],1e+30,[4.80294664e+26 1.81041500e+26]
